date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum
2015-01-01,13.87,18.75,10.61,1.00
2015-01-02,13.56,18.05,10.15,0.30
2015-01-03,13.61,18.05,10.06,0.00
2015-01-04,13.20,17.31,10.01,1.50
2015-01-05,13.45,18.00,9.26,0.00
2015-01-06,13.66,18.40,9.86,0.00
2015-01-07,13.80,18.50,10.01,0.00
2015-01-08,14.03,19.90,9.56,0.70
2015-01-09,13.59,17.45,10.65,3.70
2015-01-10,14.05,18.30,10.65,3.80
2015-01-11,14.07,19.25,10.61,0.70
2015-01-12,14.47,20.00,9.86,0.90
2015-01-13,14.31,18.85,10.70,0.60
2015-01-14,14.06,20.10,9.90,1.80
2015-01-15,14.43,19.80,9.95,3.40
2015-01-16,13.70,18.25,10.06,5.60
2015-01-17,13.25,18.20,8.15,3.60
2015-01-18,13.06,17.35,10.36,9.70
2015-01-19,13.40,18.15,10.95,11.20
2015-01-20,13.28,17.15,10.31,8.40
2015-01-21,13.54,18.50,10.51,12.70
2015-01-22,13.05,17.15,11.36,8.40
2015-01-23,13.31,18.20,10.40,11.10
2015-01-24,13.54,18.90,9.86,9.80
2015-01-25,13.78,18.10,10.65,2.30
2015-01-26,13.78,18.15,10.11,2.20
2015-01-27,13.57,18.15,10.06,6.20
2015-01-28,13.89,18.90,10.76,0.50
2015-01-29,13.79,17.80,11.06,1.50
2015-01-30,14.05,18.65,10.56,0.90
2015-01-31,13.55,18.65,9.70,5.10
2015-02-01,13.23,18.05,10.56,3.50
2015-02-02,13.68,17.40,10.56,1.50
2015-02-03,13.17,17.56,9.70,2.10
2015-02-04,14.12,18.10,10.95,1.60
2015-02-05,13.99,19.15,10.61,2.80
2015-02-06,13.24,16.56,9.86,9.10
2015-02-07,13.68,18.55,10.65,5.50
2015-02-08,13.80,18.75,10.61,9.20
2015-02-09,12.78,17.40,9.35,2.30
2015-02-10,13.37,17.50,10.31,1.10
2015-02-11,14.41,19.85,10.65,0.50
2015-02-12,14.34,19.70,9.90,0.80
2015-02-13,14.72,19.10,11.45,0.30
2015-02-14,13.83,18.70,11.36,4.90
2015-02-15,13.08,17.50,10.26,8.80
2015-02-16,14.13,19.45,9.81,0.80
2015-02-17,14.81,20.45,10.20,0.00
2015-02-18,14.71,20.55,9.26,0.30
2015-02-19,13.72,17.20,12.01,11.50
2015-02-20,14.47,19.30,10.36,0.20
2015-02-21,14.14,19.15,10.65,1.30
2015-02-22,13.87,17.90,10.40,1.10
2015-02-23,12.83,17.35,9.15,10.00
2015-02-24,13.39,17.60,10.40,4.20
2015-02-25,13.28,17.70,10.45,2.80
2015-02-26,13.81,19.05,10.51,8.10
2015-02-27,13.72,18.20,10.26,4.20
2015-02-28,13.46,17.95,9.51,2.10
2015-03-01,13.85,18.40,9.86,0.60
2015-03-02,13.63,18.60,10.86,13.00
2015-03-03,14.41,19.40,11.40,35.40
2015-03-04,14.12,19.15,10.81,17.20
2015-03-05,14.03,18.75,10.40,3.90
2015-03-06,13.58,17.35,10.15,8.00
2015-03-07,13.62,18.15,10.40,1.20
2015-03-08,14.17,18.35,10.95,0.70
2015-03-09,14.83,19.40,11.36,1.00
2015-03-10,15.29,19.25,12.65,2.20
2015-03-11,15.08,19.10,12.51,2.90
2015-03-12,15.05,20.30,11.20,1.60
2015-03-13,14.96,19.35,11.95,1.60
2015-03-14,14.90,19.70,11.61,1.10
2015-03-15,14.30,19.15,11.61,8.00
2015-03-16,14.76,19.90,11.31,30.20
2015-03-17,13.65,17.90,11.01,5.80
2015-03-18,13.50,16.95,10.95,11.50
2015-03-19,13.37,16.85,10.65,13.00
2015-03-20,10.70,13.01,8.85,35.00
2015-03-21,13.47,18.90,10.20,8.20
2015-03-22,11.95,15.36,8.85,9.80
2015-03-23,13.15,18.10,8.26,7.40
2015-03-24,14.37,19.35,11.51,14.40
2015-03-25,13.24,16.00,11.56,13.50
2015-03-26,13.32,18.80,10.45,6.40
2015-03-27,13.25,18.80,9.35,3.20
2015-03-28,13.71,19.00,11.06,12.50
2015-03-29,12.94,16.15,11.06,8.60
2015-03-30,13.10,18.15,8.76,5.90
2015-03-31,13.83,17.90,11.31,2.00
2015-04-01,13.82,19.10,10.56,2.10
2015-04-02,13.48,18.30,10.51,1.00
2015-04-03,14.21,19.90,9.60,3.80
2015-04-04,14.27,18.85,9.56,0.70
2015-04-05,13.97,19.15,11.11,7.60
2015-04-06,14.00,19.20,10.51,1.40
2015-04-07,13.76,18.35,10.06,0.90
2015-04-08,13.85,19.00,9.81,4.80
2015-04-09,14.09,18.30,10.76,0.40
2015-04-10,13.95,18.60,10.20,1.10
2015-04-11,13.92,18.55,10.36,10.70
2015-04-12,13.45,17.90,9.20,7.50
2015-04-13,13.75,18.55,8.95,1.00
2015-04-14,14.01,19.55,8.90,0.80
2015-04-15,14.04,20.15,10.40,7.60
2015-04-16,13.51,17.65,11.06,9.40
2015-04-17,13.46,17.70,10.95,8.10
2015-04-18,13.27,17.70,10.26,32.30
2015-04-19,13.74,18.85,10.51,7.10
2015-04-20,13.08,17.50,10.20,12.30
2015-04-21,13.08,16.20,10.90,9.70
2015-04-22,13.18,18.15,8.35,1.30
2015-04-23,13.35,17.60,10.06,2.10
2015-04-24,13.41,17.75,10.45,5.30
2015-04-25,12.97,16.45,10.01,3.60
2015-04-26,12.67,15.95,9.86,10.60
2015-04-27,12.60,16.35,9.06,4.90
2015-04-28,13.89,18.70,9.70,2.30
2015-04-29,13.61,17.70,9.95,3.70
2015-04-30,13.62,18.75,10.51,7.70
2015-05-01,13.56,18.30,10.15,5.20
2015-05-02,13.77,19.90,7.86,4.80
2015-05-03,13.65,17.40,11.01,9.80
2015-05-04,13.66,17.95,11.01,6.30
2015-05-05,13.26,16.56,10.86,6.70
2015-05-06,12.94,17.65,9.51,1.20
2015-05-07,13.54,18.40,9.35,0.90
2015-05-08,13.59,18.75,9.90,0.60
2015-05-09,13.56,17.60,9.60,0.40
2015-05-10,14.09,18.35,11.31,1.20
2015-05-11,13.76,17.95,10.76,3.60
2015-05-12,13.80,17.31,9.90,3.10
2015-05-13,14.36,19.65,10.70,5.20
2015-05-14,13.88,18.05,9.51,1.20
2015-05-15,14.26,19.55,11.06,2.50
2015-05-16,13.65,18.95,10.31,6.50
2015-05-17,13.30,18.55,8.85,2.80
2015-05-18,13.79,18.40,10.40,10.30
2015-05-19,13.49,17.90,9.76,5.20
2015-05-20,14.09,18.90,10.51,0.00
2015-05-21,13.41,18.55,9.90,1.10
2015-05-22,14.26,20.20,9.15,0.80
2015-05-23,13.34,17.50,9.15,1.90
